test,prediction
0.18518518518518517,0.15707788953798132
0.16830864197530865,0.17628544185698497
0.2345679012345679,0.18292432198059044
0.25925925925925924,0.3513091965630652
0.43209876543209874,0.3789549865805031
0.8271604938271605,0.573373353210439
0.8395061728395061,0.7639597796354267
0.2716049382716049,0.3561181093303949
0.08641975308641975,0.10579406266730394
0.2097530864197531,0.2912273578267065
0.35802469135802467,0.29247805460568654
0.25925925925925924,0.28805696322766405
0.3333333333333333,0.32991682938895456
0.11850617283950615,0.14990813266097924
0.08641975308641975,0.2074660161721448
0.12345679012345678,0.15966202016541664
1.0246913580246915,0.6034592007246282
0.345679012345679,0.2983908378498131
0.1111111111111111,0.17018414177038932
0.2839506172839506,0.2003167518606018
0.5679012345679012,0.3968790578759484
0.2345679012345679,0.21849848521743065
0.16049382716049382,0.2600657602533526
0.19753086419753085,0.2585386571931754
0.04938271604938271,0.07614080523328134
0.25925925925925924,0.4187502711241194
0.6172839506172839,0.7049428549425526
0.16049382716049382,0.13037328829917186
0.2715925925925926,0.3462416996676418
1.0673086419753086,0.6896346104362789
0.12345679012345678,0.12398037713610334
0.07407407407407407,0.13290247815342385
0.19753086419753085,0.30377026016175235
0.2345679012345679,0.3644249701838036
0.7160493827160493,0.269130338742724
0.07407407407407407,0.08669533020781375
0.6172839506172839,0.6252903335937685
0.12345679012345678,0.15655681098334498
0.26914814814814814,0.2472742842178601
0.1604814814814815,0.1500385595427037
0.2839506172839506,0.25341230138226534
0.1111111111111111,0.08131413123497341
0.12345679012345678,0.17747083713154482
0.2839506172839506,0.19216353859564253
0.16049382716049382,0.15164444057204893
0.16049382716049382,0.13115620434702607
0.08641975308641975,0.1395586188782464
0.5555555555555556,0.35823192227351597
0.19753086419753085,0.2219409042161715
0.14814814814814814,0.17600551029689304
0.3567407407407407,0.4893586158865212
0.16049382716049382,0.21039309092456912
0.18518518518518517,0.2036006097241475
0.19753086419753085,0.37508919471717267
0.09876543209876543,0.11564034595602064
0.3138148148148148,0.3609590805322656
0.18518518518518517,0.21358164517259115
0.24691358024691357,0.27827071191741437
0.20987654320987653,0.21423072034691956
0.06172839506172839,0.08097632097137243
0.07407407407407407,0.09460531338689046
0.2222222222222222,0.2764257611112095
0.19753086419753085,0.25487350964001454
0.3333333333333333,0.3465248349931873
0.16049382716049382,0.19855627987616786
0.1728395061728395,0.15684139395771488
0.18518518518518517,0.1821925670668469
0.09876543209876543,0.13156074970942017
0.1111111111111111,0.24346202337643574
0.4074074074074074,0.4694204627483765
0.06172839506172839,0.14702575814001714
0.41975308641975306,0.2809260564322007
0.30864197530864196,0.396093194288692
0.4361604938271605,0.4622283317721899
0.4444444444444444,0.22257244661118541
0.25925925925925924,0.2403452309246637
